Hour,01,02,03,04,05,06,07,08,09,10,11,12
00,0,0,0,0,0,0,0,0,0,0,0,0
01,0,0,0,0,0,0,0,0,0,0,0,0
02,0,0,0,0,0,0,0,0,0,0,0,0
03,0,0,0,0,0,0,0,0,0,0,0,0
04,0,0,0,0,0,0,0,0,0,0,0,0
05,0,0,0,3,26,36,24,5,0,0,0,0
06,0,0,22,78,122,121,93,87,78,34,0,0
07,74,129,201,291,325,325,286,301,313,281,184,76
08,302,349,387,534,515,507,502,508,558,552,367,382
09,537,554,592,712,683,690,664,720,704,711,594,514
10,656,706,716,785,770,825,742,839,846,848,685,624
11,723,772,780,824,758,852,829,822,865,925,756,628
12,751,776,829,889,752,824,820,822,869,856,740,662
13,699,759,816,786,724,810,778,785,799,787,690,561
14,622,631,666,691,584,657,660,669,663,573,526,482
15,355,477,510,535,464,515,507,507,478,393,360,341
16,151,260,294,271,277,330,321,322,263,156,73,22
17,0,23,75,86,104,128,139,121,54,0,0,0
18,0,0,0,2,24,44,40,13,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
