,Demand,Total Ems,Avg Ems,Total Cost,Avg Cost,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,47398.5,39525.88969573398,0.833905918873677,972849.0,20.524890899658203,33069.69996666908,4428.600021362305,3969.5999743938446,0.0,169.0,18.0,764.6000003367662,4933.8999943733215,45.099998474121094,0.0
01,45675.203,37386.81028890843,0.8185362676240628,883060.0625,19.333467483520508,31116.79995751381,4354.500015258789,3835.0999915599823,0.0,170.0,18.0,752.1000003367662,5383.500012531877,45.20000076293945,0.0
02,45332.703,36632.37624835274,0.8080783567514812,831380.0,18.339519500732422,30551.89992928505,4224.699996948242,3697.099999189377,0.0,170.0,18.0,667.1000003367662,5957.79999897629,46.099998474121094,0.0
03,46328.504,37116.19294601473,0.8011524184144337,837568.25,18.07889747619629,31065.3999979496,4193.800003051758,3665.1000163555145,0.0,166.0,18.0,667.1000003367662,6507.000017203391,46.099998474121094,0.0
04,49949.1,39875.47488183757,0.7983221646528003,965606.125,19.331802368164062,33187.59999990463,4559.099990844727,4193.199986219406,0.0,166.0,18.0,764.6000003367662,7014.5000390559435,46.099998474121094,0.0
05,57352.4,46473.90499869682,0.8103219091934217,1454146.0,25.35457992553711,38519.599949359894,4947.100021362305,5543.69998049736,0.0,170.0,18.0,754.6000003367662,7352.500005602837,46.900001525878906,0.0
06,64102.703,52298.57156567919,0.8158559470370101,1887298.0,29.44178581237793,43098.099954009056,6435.100006103516,5741.399996519089,0.0,193.0,18.0,1048.6000003367662,7521.9999567866325,46.50000190734863,0.0
07,63610.0,52142.11298280543,0.8197156576451098,1725422.875,27.125024795532227,42933.899915099144,6602.699996948242,5605.699972867966,0.0,170.0,18.0,861.900000333786,7373.899990200996,43.89999961853027,0.0
08,64366.402,53114.214034015524,0.8251853777745423,1764261.5,27.409664154052734,43878.39990365505,6593.70002746582,5617.000042676926,0.0,173.0,18.0,942.400000333786,7099.599996127188,44.30000019073486,0.0
09,66810.5,55045.11445656003,0.8238991544227334,1911241.625,28.606904983520508,44828.89994561672,6775.200012207031,6901.199970960617,0.0,193.0,18.0,1262.400000333786,6787.000008158386,44.80000114440918,0.0
10,67548.305,55773.38952126629,0.8256815589864435,1991983.875,29.489768981933594,45496.09993112087,6832.000015258789,6910.4000499248505,0.0,193.0,18.0,1245.300001859665,6809.300006829202,44.19999885559082,0.0
11,68460.9,56205.19020066999,0.8209823634140792,2057448.625,30.052902221679688,45897.999940276146,6906.20002746582,6863.900025129318,0.0,193.0,18.0,1745.5000121593475,6793.5999847278,42.70000076293945,0.0
12,69605.59,57012.55229147736,0.8190800368178364,2230985.0,32.05180740356445,46501.699983000755,6971.100021362305,7009.399998426437,0.0,193.0,83.29999995231628,2070.6999938488007,6734.300015203655,42.099998474121094,0.0
13,70601.9,58021.31004082286,0.8218094884826072,2510147.0,35.55353546142578,47143.99994409084,6976.000015258789,7547.099997282028,0.0,193.0,84.70000004768372,2073.6999938488007,6541.399988345802,41.999999046325684,0.0
14,70931.8,57971.460404659665,0.8172845318837789,2627461.5,37.042083740234375,47127.69995248318,6964.5,7507.400011777878,0.0,193.0,84.70000004768372,2501.4999969005585,6508.800031237304,44.20000076293945,0.0
15,70759.9,58238.610836658634,0.8230454271793363,2786641.25,39.38164520263672,47322.19992959499,6973.599990844727,7603.199997663498,0.0,193.0,84.70000004768372,2278.3000152111053,6260.399977736175,44.5,0.0
16,70522.6,58391.07131316793,0.827976705615708,2859346.25,40.54510498046875,47397.19992959499,7062.999984741211,7628.399996519089,0.0,193.0,84.70000004768372,2259.5000121593475,5853.500004462898,43.29999923706055,0.0
17,69779.2,58694.887860408795,0.8411515929074863,2435030.5,34.89622116088867,47582.400010466576,7265.700012207031,7600.199982404709,0.0,188.0,84.70000004768372,1710.7000091075897,5305.400002583861,42.099998474121094,0.0
18,70742.7,59443.98127115333,0.8402842787349785,2819383.0,39.85404586791992,48136.49996697903,7353.0,7746.399954557419,0.0,245.0,83.29999995231628,2389.4999969005585,4743.199996083975,45.80000114440918,0.0
19,69663.4,59220.6453949255,0.8500969910053493,2577318.5,36.99673843383789,47864.59996545315,7398.900009155273,7785.699978590012,0.0,245.0,83.29999995231628,1967.4999969005585,4271.299996979535,47.099998474121094,0.0
20,65025.9,56550.992357048075,0.8696687583855895,2030602.625,31.227598190307617,46458.499928832054,7033.800003051758,6342.29993891716,0.0,233.0,18.0,955.7999999523163,3936.8000056147575,47.70000076293945,0.0
21,61249.305,53686.19563723907,0.8765192668088453,1627228.5,26.567296981811523,44474.60001504421,6845.300003051758,5264.899979352951,0.0,210.0,18.0,808.4999999552965,3580.499983765185,47.5,0.0
22,56117.3,49504.39336648924,0.8821592036199597,1385634.125,24.69174575805664,41883.89997148514,4935.900009155273,4865.600010633469,0.0,210.0,18.0,808.4999999552965,3347.8999974653125,47.5,0.0
23,53167.297,46845.45782203993,0.8810953457381301,1239144.375,23.306514739990234,39476.00003480911,4755.800003051758,4759.000023603439,0.0,210.0,18.0,761.6000003367662,3139.1000094488263,47.79999923706055,0.0
